CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2020-06-25 09:27:04.7879669,C:\Windows\system32\Tasks\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner,3442,0C50BF52ADD58FE34412516751B9A31486507806,False,2020-06-10 02:03:51.3967285,2020-06-10 02:03:51.3967285,2020-06-09 18:43:41.3119609,00:00:00.0155921
2020-06-25 09:27:04.8192550,C:\Windows\system32\Tasks\Microsoft\Windows\Diagnosis\Scheduled,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\Diagnosis\Scheduled,3092,AAF87EEBAF99FD45990E301112D8DE2D89C3C4BF,False,2020-06-10 02:03:51.6487298,2020-06-10 02:03:51.6487298,2020-06-09 18:43:41.3119609,00:00:00.0158661
2020-06-25 09:27:04.8664214,C:\Windows\system32\Tasks\Microsoft\Windows\DirectX\DirectXDatabaseUpdater,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\DirectX\DirectXDatabaseUpdater,2884,588B79F05B05D2E19DB7FAE75751BD114340EEE5,False,2020-06-10 02:03:45.9888345,2020-06-10 02:03:45.9888345,2020-06-09 18:43:41.3292307,00:00:00.0159458
2020-06-25 09:27:04.8973617,C:\Windows\system32\Tasks\Microsoft\Windows\DirectX\DXGIAdapterCache,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\DirectX\DXGIAdapterCache,2782,76CD8E16B026CCE7146ABDE45585E88C16A059E2,False,2020-06-10 02:03:46.9575008,2020-06-10 02:03:46.9575008,2020-06-09 18:43:41.4057206,00:00:00.0156541
2020-06-25 09:27:04.9442294,C:\Windows\system32\Tasks\Microsoft\Windows\DiskCleanup\SilentCleanup,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\DiskCleanup\SilentCleanup,3176,395F4A78FC3415B44C6E1D47F4838D40A3AAB7D7,False,2020-06-10 02:03:49.9575081,2020-06-10 02:03:49.9575081,2020-06-09 18:43:41.5150683,00:00:00.0312977
2020-06-25 09:27:05.0070620,C:\Windows\system32\Tasks\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticDataCollector,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticDataCollector,3034,80D5BF039BA335037C75FB82871CB5480FDDF0D7,False,2020-06-10 02:03:51.5047382,2020-06-10 02:03:51.5047382,2020-06-09 18:43:41.5931723,00:00:00.0156235
2020-06-25 09:27:05.1473195,C:\Windows\system32\Tasks\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticResolver,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticResolver,2766,5FB27CB3019B0CAA39F432EB295BC5E70D8FFCE8,False,2020-06-10 02:03:45.8483973,2020-06-10 02:03:45.9263081,2020-06-09 18:43:41.6412056,00:00:00.0258538
2020-06-25 09:27:05.2098210,C:\Windows\system32\Tasks\Microsoft\Windows\DiskFootprint\Diagnostics,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\DiskFootprint\Diagnostics,2398,6E775504E8810942102C49FD4C1E22A63B7A9B8F,False,2020-06-10 02:03:51.7247452,2020-06-10 02:03:51.7393289,2020-06-09 18:43:41.6871619,00:00:00.0156168
2020-06-25 09:27:05.2412240,C:\Windows\system32\Tasks\Microsoft\Windows\DiskFootprint\StorageSense,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\DiskFootprint\StorageSense,2430,47E9BB4098783F6F75A8928460CBAF815CDB63E9,False,2020-06-10 02:03:47.3793276,2020-06-10 02:03:47.4003316,2020-06-09 18:43:41.7181237,00:00:00.0159181
2020-06-25 09:27:05.2723588,C:\Windows\system32\Tasks\Microsoft\Windows\DUSM\dusmtask,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\DUSM\dusmtask,2384,8408BBEED4726C2F3497078AC664515C0C3A9417,False,2020-06-10 02:03:49.9287387,2020-06-10 02:03:49.9447239,2020-06-09 18:43:41.7496474,00:00:00.0156562
2020-06-25 09:27:05.3192286,C:\Windows\system32\Tasks\Microsoft\Windows\EDP\EDP App Launch Task,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\EDP\EDP App Launch Task,2302,2093F97FF0AD20928AB0BAB708B2BE575640DBBB,False,2020-06-10 02:03:52.2862111,2020-06-10 02:03:52.2862111,2020-06-09 18:43:41.8275334,00:00:00.0154879
2020-06-25 09:27:05.3660996,C:\Windows\system32\Tasks\Microsoft\Windows\EDP\EDP Auth Task,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\EDP\EDP Auth Task,2284,34D0A4FEF353B960ADD61406198760C15333FA85,False,2020-06-10 02:03:48.3637508,2020-06-10 02:03:48.3637508,2020-06-09 18:43:41.8452293,00:00:00.0169689
2020-06-25 09:27:05.3973511,C:\Windows\system32\Tasks\Microsoft\Windows\EDP\EDP Inaccessible Credentials Task,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\EDP\EDP Inaccessible Credentials Task,2348,4192212205E579E3D3CBD95D5E717602FADF7993,False,2020-06-10 02:03:47.1767483,2020-06-10 02:03:47.2080577,2020-06-09 18:43:41.8587899,00:00:00.0312515
2020-06-25 09:27:05.4287907,C:\Windows\system32\Tasks\Microsoft\Windows\EDP\StorageCardEncryption Task,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\EDP\StorageCardEncryption Task,2344,7324F0A887E2F4B24FC4A317AD4CA4B79F1D87A4,False,2020-06-10 02:03:49.8949983,2020-06-10 02:03:49.8949983,2020-06-09 18:43:41.8772461,00:00:00.0314396
2020-06-25 09:27:05.4756403,C:\Windows\system32\Tasks\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh,3172,2C236D0BA2B4EC3484A930F492B5597066209329,False,2020-06-10 02:03:44.8012698,2020-06-10 02:03:44.8012698,2020-06-09 18:43:41.9369611,00:00:00.0157895
